2625,15640,934
15761,3401,13234
1149,1689,7186
1941,11083,6937
2730,1045,12714
11549,12920,14872
5054,5531,4387
1493,12195,14459
7370,11004,10646
634,10186,4096
4337,15736,2980
9736,13492,9129
2932,9077,2281
14913,7286,1924
13559,9093,4416
2698,15136,6685
9758,8625,10448
14408,12181,201
3466,1030,4973
3579,14789,8134
12526,15703,14192
6854,11157,11396
7850,13758,13448
8809,7214,15727
5308,2268,9452
13114,14402,12910
15605,2724,13048
9472,10436,5863
15142,4611,10315
9498,13272,104
3963,244,12352
308,316,12574
5673,15922,657
13371,3319,7477
688,6771,14452
6409,11237,9249
3805,14463,10875
7539,12625,5254
10961,3307,10289
13585,15887,833
7222,3366,8555
14836,14636,7459
1821,5348,4149
8504,6400,10781
6666,9535,6984
2726,6759,12110
1676,4937,1237
516,8261,10154
11558,8585,4844
3107,7726,11804
7933,14312,5762
8166,14816,14909
7245,6869,13613
1663,7283,9181
4620,2417,828
5081,2806,40
13889,12734,15589
481,7195,10036
2146,1938,15126
14126,8204,11032
13183,7908,8032
5138,11283,13991
3618,12179,14534
7435,11670,1570
2581,15497,9809
2831,2907,8109
8597,7356,1773
6162,12344,6492
3619,14079,15322
14669,1371,3140
13678,8362,5406
12704,8415,7936
11998,15144,8476
15752,1870,14072
11700,5382,1061
7193,12186,1826
11099,342,15208
4645,7755,12708
121,5456,7460
10062,9893,7262
15615,607,4301
12824,2,13272
7013,11307,5002
587,1743,8890
2957,7000,7293
11339,14563,6118
7950,6931,468
6841,8338,6854
4400,14040,2340
14709,1453,9084
5443,9560,10106
11783,3863,2923
10596,7647,14126
7069,4887,6904
2777,10742,5335
14572,6174,6753
1440,2589,8509
5304,11974,12552
12596,13872,7678
3278,12152,9754
14857,15789,12792
2352,2448,2993
15246,7452,2072
9854,4301,14002
11150,3739,7541
897,12159,570
12614,13721,8358
1339,8276,14816
6672,3363,14770
3206,2192,1992
9236,6995,953
367,11983,1105
2333,2987,7976
7986,11604,6822
15898,13679,6060
6467,10843,6562
12929,12331,11930
2794,8279,3409
1507,9401,3878
3543,6256,5601
6006,14188,6114
15316,10515,14190
9611,2243,2215
10965,5258,11624
10778,11858,2875
1654,6214,5222
14141,6967,12523
523,13172,6533
5347,10010,8361
11699,10180,12153
12297,3337,468
13448,1762,3283
7802,3822,6398
7774,10097,8551
3430,10779,14382
8599,2165,14062
15207,13264,7573
13055,8608,2475
15698,2381,14796
1776,3679,7163
609,4125,5143
7445,12757,819
6413,10477,583
7993,7233,10767
14490,5149,9232
13895,12209,14920
6898,1632,397
