0.451,0.666,0.154,0.496,0.521
0.446,0.844,0.3,0.682,0.695
0.64,0.835,0.355,0.707,0.673
0.201,0.704,0.145,0.341,0.486
0.276,0.423,0.927,0.402,0.256
0.738,0.384,0.232,0.325,0.996
0.644,0.936,0.296,0.54,0.719
0.328,0.324,0.659,0.418,0.239
0.706,0.849,0.274,0.609,0.698
0.071,0.489,0.911,0.166,0.233
0.492,0.744,0.256,0.624,0.44
0.546,0.755,0.127,0.682,0.765
0.206,0.311,0.856,0.513,0.352
0.522,0.731,0.193,0.685,0.685
0.679,0.511,0.228,0.293,0.796
0.25,0.106,0.74,0.283,0.159
0.276,0.476,0.832,0.312,0.208
0.07,0.36,0.646,0.252,0.112
0.146,0.238,0.836,0.413,0.225
0.339,0.826,0.317,0.485,0.624
0.043,0.381,0.92,0.529,0.338
0.815,0.454,0.199,0.326,0.649
0.661,0.42,0.224,0.389,0.985
0.358,0.751,0.264,0.462,0.491
0.792,0.758,0.272,0.629,0.658
0.852,0.308,0.406,0.304,0.758
0.127,0.467,0.851,0.122,0.104
0.59,0.528,0.19,0.361,0.831
0.35,0.678,0.437,0.527,0.576
0.078,0.106,0.886,0.483,0.251
0.445,0.645,0.465,0.375,0.331
0.006,0.398,0.917,0.292,0.087
0.516,0.749,0.161,0.792,0.633
0.136,0.388,0.854,0.288,0.1
0.808,0.505,0.263,0.371,0.758
0.051,0.289,0.887,0.317,0.275
0.72,0.648,0.145,0.673,0.797
0.135,0.373,0.894,0.27,0.11
0.85,0.48,0.12,0.439,0.75
0.169,0.336,0.914,0.457,0.22
0.063,0.313,0.692,0.517,0.222
0.324,0.229,0.942,0.228,0.176
0.816,0.433,0.439,0.052,0.826
0.039,0.22,0.735,0.258,0.222
0.047,0.194,0.712,0.205,0.179
0.113,0.302,0.811,0.121,0.128
0.326,0.681,0.228,0.557,0.438
0.565,0.747,0.071,0.677,0.415
0.278,0.767,0.281,0.637,0.513
0.787,0.471,0.214,0.317,0.692
0.565,0.973,0.222,0.643,0.659
0.445,0.622,0.244,0.473,0.577
0.263,0.157,0.932,0.26,0.063
0.168,0.469,0.798,0.401,0.184
0.172,0.18,0.732,0.264,0.098
0.799,0.536,0.216,0.538,0.694
0.288,0.253,0.893,0.079,0.148
0.726,0.507,0.363,0.209,0.849
0.711,0.83,0.178,0.605,0.745
0.421,0.737,0.518,0.462,0.26
0.175,0.731,0.346,0.414,0.289
0.756,0.25,0.158,0.342,0.933
0.159,0.057,0.691,0.182,0.069
0.196,0.231,0.902,0.334,0.066
0.542,0.775,0.265,0.509,0.346
0.42,0.629,0.204,0.552,0.452
0.277,0.779,0.167,0.647,0.478
0.272,0.147,0.696,0.467,0.402
0.232,0.328,0.872,0.422,0.453
0.694,0.432,0.391,0.362,0.831
0.784,0.402,0.144,0.383,0.901
0.563,0.784,0.2,0.587,0.624
0.451,0.775,0.38,0.453,0.538
0.106,0.258,0.88,0.511,0.439
0.581,0.81,0.257,0.647,0.876
0.27,0.206,0.769,0.385,0.322
0.267,0.832,0.287,0.415,0.517
0.633,0.824,0.256,0.601,0.667
0.585,0.767,0.277,0.668,0.826
0.002,0.21,0.806,0.308,0.006
0.627,0.972,0.276,0.595,0.888
0.628,0.632,0.223,0.634,0.553
0.646,0.762,0.272,0.59,0.565
0.637,0.396,0.285,0.267,0.903
0.431,0.674,0.338,0.508,0.242
0.281,0.723,0.253,0.475,0.579
0.106,0.408,0.928,0.604,0.361
0.116,0.298,0.983,0.497,0.343
0.801,0.465,0.348,0.247,0.669
0.84,0.415,0.353,0.252,0.752
0.774,0.432,0.292,0.541,0.805
0.284,0.332,0.931,0.539,0.311
0.785,0.725,0.215,0.738,0.672
0.189,0.582,0.857,0.491,0.446
0.046,0.147,0.9,0.379,0.413
0.251,0.596,0.267,0.312,0.475
0.703,0.684,0.094,0.867,0.638
0.677,0.546,0.358,0.517,0.798
0.623,0.772,0.344,0.708,0.706
0.272,0.396,0.835,0.351,0.406
